id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AVweMlM9_7pvs4fzA4zx,2015-11-19T22:19:40Z,2019-03-26T23:19:21Z,410 Lusardi Dr,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,Sandwiches,Sandwich Place,Restaurants,Brookneal Restaurants,Sandwich Shops",Accommodation & Food Services,Brookneal,US,us/va/brookneal/410lusardidr/-891525969,37.044978,-78.945516,SUBWAY,24528,VA,"http://www.allmenus.com/va/brookneal/147561-subway/menu/,https://www.allmenus.com/va/brookneal/147561-subway/menu/,https://foursquare.com/v/subway/4df506a7a809141629a7e625,http://www.yellowbook.com/profile/subway_1838406404.html",http://subway.com/
AVwdBrnJ_7pvs4fz1euV,2016-03-27T05:30:39Z,2019-03-26T23:18:33Z,8761 S Harlem Ave,"Event Planning,Restaurant,Carry-out food,Caterers,Delicatessens,Fast Food Restaurant,Sandwiches,Food & Entertainment,Sandwich Place,Restaurants",Accommodation & Food Services,Bridgeview,US,us/il/bridgeview/8761sharlemave/-891525969,41.73204,-87.798695,Subway,60455,IL,"http://www.yellowbook.com/profile/subway_1844587001.html,https://foursquare.com/v/subway/4e063a3d1f6e21103385564b/menu,https://foursquare.com/v/subway/4e063a3d1f6e21103385564b",http://www.subway.com/
AWitt7fC3-Khe5l_0PQ9,2019-02-02T10:06:00Z,2019-03-26T23:04:59Z,256 East Plaza Dr,Fast Food,Accommodation & Food Services,Mooresville,US,us/nc/mooresville/256eastplazadr/-2061630068,35.5883,-80.8269,Burger King,28115,NC,http://www.citysearch.com/profile/6258107/mooresville_nc/burger_king.html,https://locations.bk.com/nc/mooresville/256-east-plaza-dr.html
AWirZUfHRxPSIh2R_SkY,2019-02-01T22:33:49Z,2019-03-26T23:02:59Z,801 Center Avenue,"Mexican,Breakfast,Mexican Restaurants,Fast Food,Diners,Fast Food Restaurants,Take Out Restaurants,Restaurants",Accommodation & Food Services,Moorhead,US,us/mn/moorhead/801centeravenue/-1009719089,46.8748,-96.7673,Taco John's,56560,MN,"http://www.citysearch.com/profile/5694959/moorhead_mn/taco_john_s.html,https://www.yellowpages.com/moorhead-mn/mip/taco-johns-5328509",https://locations.tacojohns.com/mn/moorhead/801-center-avenue.html
AWirZBwLIxWefVJwE5yh,2019-02-01T22:34:18Z,2019-03-26T23:01:39Z,1503 S Washington,Fast Food,Accommodation & Food Services,Grand Forks,US,us/nd/grandforks/1503swashington/-791445730,47.906,-97.0442,Wendy's,58201,ND,http://www.citysearch.com/profile/6412227/grand_forks_nd/wendy_s.html,https://locations.wendys.com/united-states/nd/grand-forks/1503-s-washington
AWitxKo-a4HuVbedhwhv,2019-02-02T09:55:42Z,2019-03-26T23:00:29Z,2449 North Hill Street,"Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants",Accommodation & Food Services,Meridian,US,us/ms/meridian/2449northhillstreet/1780593795,32.4087,-88.7048,Sonic Drive-In,39305,MS,http://www.citysearch.com/profile/34900342/meridian_ms/sonic_drive_in.html,https://locations.sonicdrivein.com/ms/meridian/2449-north-hill-street.html
AWittZEVIxWefVJwE-eu,2019-02-02T09:54:40Z,2019-03-26T22:59:57Z,1644 Simpson Hwy 49,"Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants",Accommodation & Food Services,Magee,US,us/ms/magee/1644simpsonhwy49/1780593795,31.8702,-89.7453,Sonic Drive-In,39111,MS,http://www.citysearch.com/profile/708915850/magee_ms/sonic_drive_in.html,https://locations.sonicdrivein.com/ms/magee/1644-simpson-hwy-49.html
AWGN_Ei5RxPSIh2RtTRM,2018-02-13T07:04:06Z,2019-03-26T22:59:54Z,1558 Hwy 49,"Restaurant,Mexican,Breakfast,Vegetarian,Fast Food,Restaurants",Accommodation & Food Services,Magee,US,us/ms/magee/1558hwy49/-864103396,31.8677,-89.7389,Taco Bell,39111,MS,http://www.citysearch.com/profile/42130415/magee_ms/taco_bell.html,https://locations.tacobell.com/ms/magee/1558-hwy-49.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=032335&utm_content=website
AWEH8kcma4HuVbedLprp,2018-01-18T06:22:22Z,2019-03-26T22:59:28Z,1641 Pass Rd,"Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants",Accommodation & Food Services,Biloxi,US,us/ms/biloxi/1641passrd/-2061630068,30.4023,-88.9354,Burger King,39531,MS,http://www.citysearch.com/profile/37113547/biloxi_ms/burger_king.html,"https://locations.bk.com/ms/biloxi/1641-pass-rd.html,http://www.bk.com/"
AWhr9TNQRxPSIh2R9csK,2019-01-20T15:07:31Z,2019-03-26T22:58:33Z,620 Highway 7,"Fast Food,Chicken,Restaurants",Accommodation & Food Services,Holly Springs,US,us/ms/hollysprings/620highway7/106088,34.7538,-89.4532,KFC,38635,MS,http://www.citysearch.com/profile/733822520/holly_springs_ms/kfc.html,https://www.kfc.com/store-locator?query=38635
