Crew,EVA_number,EVA_time
Yuri Gidzenko,2,218.0
Svetlana Savitskaya,1,214.0
Dave Leestma,1,209.0
Kathy Sullivan,2,209.0
Dave Griggs,1,190.0
Jeff Hoffman,1,190.0
Richard Gordon,2,174.0
Neil Armstrong,2,157.0
Anatoli Berezovsky,1,153.0
Valentin Lebedev,1,153.0
Paul Weitz,3,136.0
Vladimir Kovalyonok,1,125.0
Alexandr Ivanchenkov ,1,125.0
Alexandr Kaleri,1,123.0
Mike Collins,2,89.0
Georgi Grechko,1,88.0
Valeri Ryumin,1,83.0
Tom Mattingly,1,83.0
Ron Evans,1,67.0
Russ Schweickart,1,51.0
Al Worden,1,39.0
Aleksei Yeliseyov,1,37.0
Yevgeni Khrunov,1,37.0
Ed White,1,36.0
Alexei Leonov,1,12.0
Victor Lazerov,1,0.0
Bill Lenoir,1,0.0
Oleg Makarov,1,0.0
